Account_Type,ID,Name_or_Organization,Category_or_Subject,Email_Username,Password,City,State,Pincode,CSEEL_Verification_Status
Organization,org-39,"National Science & Education Campus 39","School (CBSE/ICSE)",org.39@cseel.network,Dev@123,Bhubaneswar,Odisha,751024,CSEEL Verified Gold
Organization,org-40,"National Science & Education Campus 40","Atal Tinkering Lab",org.40@cseel.network,Dev@123,New Delhi,Delhi,110001,CSEEL Verified Gold
Organization,org-41,"National Science & Education Campus 41","School (CBSE/ICSE)",org.41@cseel.network,Dev@123,Bengaluru,Karnataka,560001,CSEEL Verified Gold
Organization,org-42,"National Science & Education Campus 42","School (CBSE/ICSE)",org.42@cseel.network,Dev@123,Bhubaneswar,Odisha,751024,CSEEL Verified Gold
Organization,org-43,"National Science & Education Campus 43","School (CBSE/ICSE)",org.43@cseel.network,Dev@123,New Delhi,Delhi,110001,CSEEL Verified Gold
Organization,org-44,"National Science & Education Campus 44","Atal Tinkering Lab",org.44@cseel.network,Dev@123,Bengaluru,Karnataka,560001,CSEEL Verified Gold
Organization,org-45,"National Science & Education Campus 45","University / Research",org.45@cseel.network,Dev@123,Bhubaneswar,Odisha,751024,CSEEL Verified Gold
Organization,org-46,"National Science & Education Campus 46","School (CBSE/ICSE)",org.46@cseel.network,Dev@123,New Delhi,Delhi,110001,CSEEL Verified Gold
Organization,org-47,"National Science & Education Campus 47","School (CBSE/ICSE)",org.47@cseel.network,Dev@123,Bengaluru,Karnataka,560001,CSEEL Verified Gold
Organization,org-48,"National Science & Education Campus 48","Atal Tinkering Lab",org.48@cseel.network,Dev@123,Bhubaneswar,Odisha,751024,CSEEL Verified Gold
Organization,org-49,"National Science & Education Campus 49","School (CBSE/ICSE)",org.49@cseel.network,Dev@123,New Delhi,Delhi,110001,CSEEL Verified Gold
Organization,org-50,"National Science & Education Campus 50","University / Research",org.50@cseel.network,Dev@123,Bengaluru,Karnataka,560001,CSEEL Verified Gold
Organization,org-51,"National Science & Education Campus 51","School (CBSE/ICSE)",org.51@cseel.network,Dev@123,Bhubaneswar,Odisha,751024,CSEEL Verified Gold
Organization,org-52,"National Science & Education Campus 52","Atal Tinkering Lab",org.52@cseel.network,Dev@123,New Delhi,Delhi,110001,CSEEL Verified Gold
Organization,org-53,"National Science & Education Campus 53","School (CBSE/ICSE)",org.53@cseel.network,Dev@123,Bengaluru,Karnataka,560001,CSEEL Verified Gold
Organization,org-54,"National Science & Education Campus 54","School (CBSE/ICSE)",org.54@cseel.network,Dev@123,Bhubaneswar,Odisha,751024,CSEEL Verified Gold
Organization,org-55,"National Science & Education Campus 55","University / Research",org.55@cseel.network,Dev@123,New Delhi,Delhi,110001,CSEEL Verified Gold
Organization,org-56,"National Science & Education Campus 56","Atal Tinkering Lab",org.56@cseel.network,Dev@123,Bengaluru,Karnataka,560001,CSEEL Verified Gold
Organization,org-57,"National Science & Education Campus 57","School (CBSE/ICSE)",org.57@cseel.network,Dev@123,Bhubaneswar,Odisha,751024,CSEEL Verified Gold
Organization,org-58,"National Science & Education Campus 58","School (CBSE/ICSE)",org.58@cseel.network,Dev@123,New Delhi,Delhi,110001,CSEEL Verified Gold
Organization,org-59,"National Science & Education Campus 59","School (CBSE/ICSE)",org.59@cseel.network,Dev@123,Bengaluru,Karnataka,560001,CSEEL Verified Gold
Organization,org-60,"National Science & Education Campus 60","Atal Tinkering Lab",org.60@cseel.network,Dev@123,Bhubaneswar,Odisha,751024,CSEEL Verified Gold
Organization,org-61,"National Science & Education Campus 61","School (CBSE/ICSE)",org.61@cseel.network,Dev@123,New Delhi,Delhi,110001,CSEEL Verified Gold
Organization,org-62,"National Science & Education Campus 62","School (CBSE/ICSE)",org.62@cseel.network,Dev@123,Bengaluru,Karnataka,560001,CSEEL Verified Gold
Organization,org-63,"National Science & Education Campus 63","School (CBSE/ICSE)",org.63@cseel.network,Dev@123,Bhubaneswar,Odisha,751024,CSEEL Verified Gold
Organization,org-64,"National Science & Education Campus 64","Atal Tinkering Lab",org.64@cseel.network,Dev@123,New Delhi,Delhi,110001,CSEEL Verified Gold
Organization,org-65,"National Science & Education Campus 65","University / Research",org.65@cseel.network,Dev@123,Bengaluru,Karnataka,560001,CSEEL Verified Gold
Organization,org-66,"National Science & Education Campus 66","School (CBSE/ICSE)",org.66@cseel.network,Dev@123,Bhubaneswar,Odisha,751024,CSEEL Verified Gold
Organization,org-67,"National Science & Education Campus 67","School (CBSE/ICSE)",org.67@cseel.network,Dev@123,New Delhi,Delhi,110001,CSEEL Verified Gold
Organization,org-68,"National Science & Education Campus 68","Atal Tinkering Lab",org.68@cseel.network,Dev@123,Bengaluru,Karnataka,560001,CSEEL Verified Gold
Organization,org-69,"National Science & Education Campus 69","School (CBSE/ICSE)",org.69@cseel.network,Dev@123,Bhubaneswar,Odisha,751024,CSEEL Verified Gold
Organization,org-70,"National Science & Education Campus 70","University / Research",org.70@cseel.network,Dev@123,New Delhi,Delhi,110001,CSEEL Verified Gold
Organization,org-71,"National Science & Education Campus 71","School (CBSE/ICSE)",org.71@cseel.network,Dev@123,Bengaluru,Karnataka,560001,CSEEL Verified Gold
Organization,org-72,"National Science & Education Campus 72","Atal Tinkering Lab",org.72@cseel.network,Dev@123,Bhubaneswar,Odisha,751024,CSEEL Verified Gold
Organization,org-73,"National Science & Education Campus 73","School (CBSE/ICSE)",org.73@cseel.network,Dev@123,New Delhi,Delhi,110001,CSEEL Verified Gold
Organization,org-74,"National Science & Education Campus 74","School (CBSE/ICSE)",org.74@cseel.network,Dev@123,Bengaluru,Karnataka,560001,CSEEL Verified Gold
Organization,org-75,"National Science & Education Campus 75","University / Research",org.75@cseel.network,Dev@123,Bhubaneswar,Odisha,751024,CSEEL Verified Gold
Organization,org-76,"National Science & Education Campus 76","Atal Tinkering Lab",org.76@cseel.network,Dev@123,New Delhi,Delhi,110001,CSEEL Verified Gold
Organization,org-77,"National Science & Education Campus 77","School (CBSE/ICSE)",org.77@cseel.network,Dev@123,Bengaluru,Karnataka,560001,CSEEL Verified Gold
Organization,org-78,"National Science & Education Campus 78","School (CBSE/ICSE)",org.78@cseel.network,Dev@123,Bhubaneswar,Odisha,751024,CSEEL Verified Gold
Organization,org-79,"National Science & Education Campus 79","School (CBSE/ICSE)",org.79@cseel.network,Dev@123,New Delhi,Delhi,110001,CSEEL Verified Gold
Organization,org-80,"National Science & Education Campus 80","Atal Tinkering Lab",org.80@cseel.network,Dev@123,Bengaluru,Karnataka,560001,CSEEL Verified Gold
Organization,org-81,"National Science & Education Campus 81","School (CBSE/ICSE)",org.81@cseel.network,Dev@123,Bhubaneswar,Odisha,751024,CSEEL Verified Gold
Organization,org-82,"National Science & Education Campus 82","School (CBSE/ICSE)",org.82@cseel.network,Dev@123,New Delhi,Delhi,110001,CSEEL Verified Gold
Organization,org-83,"National Science & Education Campus 83","School (CBSE/ICSE)",org.83@cseel.network,Dev@123,Bengaluru,Karnataka,560001,CSEEL Verified Gold
Organization,org-84,"National Science & Education Campus 84","Atal Tinkering Lab",org.84@cseel.network,Dev@123,Bhubaneswar,Odisha,751024,CSEEL Verified Gold
Organization,org-85,"National Science & Education Campus 85","University / Research",org.85@cseel.network,Dev@123,New Delhi,Delhi,110001,CSEEL Verified Gold
Organization,org-86,"National Science & Education Campus 86","School (CBSE/ICSE)",org.86@cseel.network,Dev@123,Bengaluru,Karnataka,560001,CSEEL Verified Gold
Organization,org-87,"National Science & Education Campus 87","School (CBSE/ICSE)",org.87@cseel.network,Dev@123,Bhubaneswar,Odisha,751024,CSEEL Verified Gold
Organization,org-88,"National Science & Education Campus 88","Atal Tinkering Lab",org.88@cseel.network,Dev@123,New Delhi,Delhi,110001,CSEEL Verified Gold
Organization,org-89,"National Science & Education Campus 89","School (CBSE/ICSE)",org.89@cseel.network,Dev@123,Bengaluru,Karnataka,560001,CSEEL Verified Gold
Organization,org-90,"National Science & Education Campus 90","University / Research",org.90@cseel.network,Dev@123,Bhubaneswar,Odisha,751024,CSEEL Verified Gold
Organization,org-91,"National Science & Education Campus 91","School (CBSE/ICSE)",org.91@cseel.network,Dev@123,New Delhi,Delhi,110001,CSEEL Verified Gold
Organization,org-92,"National Science & Education Campus 92","Atal Tinkering Lab",org.92@cseel.network,Dev@123,Bengaluru,Karnataka,560001,CSEEL Verified Gold
Organization,org-93,"National Science & Education Campus 93","School (CBSE/ICSE)",org.93@cseel.network,Dev@123,Bhubaneswar,Odisha,751024,CSEEL Verified Gold
Organization,org-94,"National Science & Education Campus 94","School (CBSE/ICSE)",org.94@cseel.network,Dev@123,New Delhi,Delhi,110001,CSEEL Verified Gold
Organization,org-95,"National Science & Education Campus 95","University / Research",org.95@cseel.network,Dev@123,Bengaluru,Karnataka,560001,CSEEL Verified Gold
Organization,org-96,"National Science & Education Campus 96","Atal Tinkering Lab",org.96@cseel.network,Dev@123,Bhubaneswar,Odisha,751024,CSEEL Verified Gold
Organization,org-97,"National Science & Education Campus 97","School (CBSE/ICSE)",org.97@cseel.network,Dev@123,New Delhi,Delhi,110001,CSEEL Verified Gold
Organization,org-98,"National Science & Education Campus 98","School (CBSE/ICSE)",org.98@cseel.network,Dev@123,Bengaluru,Karnataka,560001,CSEEL Verified Gold
Organization,org-99,"National Science & Education Campus 99","School (CBSE/ICSE)",org.99@cseel.network,Dev@123,Bhubaneswar,Odisha,751024,CSEEL Verified Gold
Organization,org-100,"National Science & Education Campus 100","Atal Tinkering Lab",org.100@cseel.network,Dev@123,New Delhi,Delhi,110001,CSEEL Verified Gold
Teacher / Faculty,teacher-1,"Dr./Prof. Science Educator 1","Physics",teacher.1@cseel.network,Dev@123,New Delhi,Delhi,110001,CSEEL NEP-2020 Certified
Teacher / Faculty,teacher-2,"Dr./Prof. Science Educator 2","Chemistry",teacher.2@cseel.network,Dev@123,Bengaluru,Karnataka,560001,CSEEL NEP-2020 Certified
Teacher / Faculty,teacher-3,"Dr./Prof. Science Educator 3","Biology",teacher.3@cseel.network,Dev@123,Bhubaneswar,Odisha,751024,CSEEL NEP-2020 Certified
Teacher / Faculty,teacher-4,"Dr./Prof. Science Educator 4","Mathematics",teacher.4@cseel.network,Dev@123,New Delhi,Delhi,110001,CSEEL NEP-2020 Certified
Teacher / Faculty,teacher-5,"Dr./Prof. Science Educator 5","Robotics & AI",teacher.5@cseel.network,Dev@123,Bengaluru,Karnataka,560001,CSEEL NEP-2020 Certified
Teacher / Faculty,teacher-6,"Dr./Prof. Science Educator 6","Computer Science",teacher.6@cseel.network,Dev@123,Bhubaneswar,Odisha,751024,CSEEL NEP-2020 Certified
Teacher / Faculty,teacher-7,"Dr./Prof. Science Educator 7","Lab Technology",teacher.7@cseel.network,Dev@123,New Delhi,Delhi,110001,CSEEL NEP-2020 Certified
Teacher / Faculty,teacher-8,"Dr./Prof. Science Educator 8","Physics",teacher.8@cseel.network,Dev@123,Bengaluru,Karnataka,560001,CSEEL NEP-2020 Certified
Teacher / Faculty,teacher-9,"Dr./Prof. Science Educator 9","Chemistry",teacher.9@cseel.network,Dev@123,Bhubaneswar,Odisha,751024,CSEEL NEP-2020 Certified
Teacher / Faculty,teacher-10,"Dr./Prof. Science Educator 10","Biology",teacher.10@cseel.network,Dev@123,New Delhi,Delhi,110001,CSEEL NEP-2020 Certified
Teacher / Faculty,teacher-11,"Dr./Prof. Science Educator 11","Mathematics",teacher.11@cseel.network,Dev@123,Bengaluru,Karnataka,560001,CSEEL NEP-2020 Certified
Teacher / Faculty,teacher-12,"Dr./Prof. Science Educator 12","Robotics & AI",teacher.12@cseel.network,Dev@123,Bhubaneswar,Odisha,751024,CSEEL NEP-2020 Certified
Teacher / Faculty,teacher-13,"Dr./Prof. Science Educator 13","Computer Science",teacher.13@cseel.network,Dev@123,New Delhi,Delhi,110001,CSEEL NEP-2020 Certified
Teacher / Faculty,teacher-14,"Dr./Prof. Science Educator 14","Lab Technology",teacher.14@cseel.network,Dev@123,Bengaluru,Karnataka,560001,CSEEL NEP-2020 Certified
Teacher / Faculty,teacher-15,"Dr./Prof. Science Educator 15","Physics",teacher.15@cseel.network,Dev@123,Bhubaneswar,Odisha,751024,CSEEL NEP-2020 Certified
Teacher / Faculty,teacher-16,"Dr./Prof. Science Educator 16","Chemistry",teacher.16@cseel.network,Dev@123,New Delhi,Delhi,110001,CSEEL NEP-2020 Certified
Teacher / Faculty,teacher-17,"Dr./Prof. Science Educator 17","Biology",teacher.17@cseel.network,Dev@123,Bengaluru,Karnataka,560001,CSEEL NEP-2020 Certified
Teacher / Faculty,teacher-18,"Dr./Prof. Science Educator 18","Mathematics",teacher.18@cseel.network,Dev@123,Bhubaneswar,Odisha,751024,CSEEL NEP-2020 Certified
Teacher / Faculty,teacher-19,"Dr./Prof. Science Educator 19","Robotics & AI",teacher.19@cseel.network,Dev@123,New Delhi,Delhi,110001,CSEEL NEP-2020 Certified
Teacher / Faculty,teacher-20,"Dr./Prof. Science Educator 20","Computer Science",teacher.20@cseel.network,Dev@123,Bengaluru,Karnataka,560001,CSEEL NEP-2020 Certified
Teacher / Faculty,teacher-21,"Dr./Prof. Science Educator 21","Lab Technology",teacher.21@cseel.network,Dev@123,Bhubaneswar,Odisha,751024,CSEEL NEP-2020 Certified
Teacher / Faculty,teacher-22,"Dr./Prof. Science Educator 22","Physics",teacher.22@cseel.network,Dev@123,New Delhi,Delhi,110001,CSEEL NEP-2020 Certified
Teacher / Faculty,teacher-23,"Dr./Prof. Science Educator 23","Chemistry",teacher.23@cseel.network,Dev@123,Bengaluru,Karnataka,560001,CSEEL NEP-2020 Certified
Teacher / Faculty,teacher-24,"Dr./Prof. Science Educator 24","Biology",teacher.24@cseel.network,Dev@123,Bhubaneswar,Odisha,751024,CSEEL NEP-2020 Certified
Teacher / Faculty,teacher-25,"Dr./Prof. Science Educator 25","Mathematics",teacher.25@cseel.network,Dev@123,New Delhi,Delhi,110001,CSEEL NEP-2020 Certified
Teacher / Faculty,teacher-26,"Dr./Prof. Science Educator 26","Robotics & AI",teacher.26@cseel.network,Dev@123,Bengaluru,Karnataka,560001,CSEEL NEP-2020 Certified
Teacher / Faculty,teacher-27,"Dr./Prof. Science Educator 27","Computer Science",teacher.27@cseel.network,Dev@123,Bhubaneswar,Odisha,751024,CSEEL NEP-2020 Certified
Teacher / Faculty,teacher-28,"Dr./Prof. Science Educator 28","Lab Technology",teacher.28@cseel.network,Dev@123,New Delhi,Delhi,110001,CSEEL NEP-2020 Certified
Teacher / Faculty,teacher-29,"Dr./Prof. Science Educator 29","Physics",teacher.29@cseel.network,Dev@123,Bengaluru,Karnataka,560001,CSEEL NEP-2020 Certified
Teacher / Faculty,teacher-30,"Dr./Prof. Science Educator 30","Chemistry",teacher.30@cseel.network,Dev@123,Bhubaneswar,Odisha,751024,CSEEL NEP-2020 Certified
Teacher / Faculty,teacher-31,"Dr./Prof. Science Educator 31","Biology",teacher.31@cseel.network,Dev@123,New Delhi,Delhi,110001,CSEEL NEP-2020 Certified
Teacher / Faculty,teacher-32,"Dr./Prof. Science Educator 32","Mathematics",teacher.32@cseel.network,Dev@123,Bengaluru,Karnataka,560001,CSEEL NEP-2020 Certified
Teacher / Faculty,teacher-33,"Dr./Prof. Science Educator 33","Robotics & AI",teacher.33@cseel.network,Dev@123,Bhubaneswar,Odisha,751024,CSEEL NEP-2020 Certified
Teacher / Faculty,teacher-34,"Dr./Prof. Science Educator 34","Computer Science",teacher.34@cseel.network,Dev@123,New Delhi,Delhi,110001,CSEEL NEP-2020 Certified
Teacher / Faculty,teacher-35,"Dr./Prof. Science Educator 35","Lab Technology",teacher.35@cseel.network,Dev@123,Bengaluru,Karnataka,560001,CSEEL NEP-2020 Certified
Teacher / Faculty,teacher-36,"Dr./Prof. Science Educator 36","Physics",teacher.36@cseel.network,Dev@123,Bhubaneswar,Odisha,751024,CSEEL NEP-2020 Certified
Teacher / Faculty,teacher-37,"Dr./Prof. Science Educator 37","Chemistry",teacher.37@cseel.network,Dev@123,New Delhi,Delhi,110001,CSEEL NEP-2020 Certified
Teacher / Faculty,teacher-38,"Dr./Prof. Science Educator 38","Biology",teacher.38@cseel.network,Dev@123,Bengaluru,Karnataka,560001,CSEEL NEP-2020 Certified
Teacher / Faculty,teacher-39,"Dr./Prof. Science Educator 39","Mathematics",teacher.39@cseel.network,Dev@123,Bhubaneswar,Odisha,751024,CSEEL NEP-2020 Certified
Teacher / Faculty,teacher-40,"Dr./Prof. Science Educator 40","Robotics & AI",teacher.40@cseel.network,Dev@123,New Delhi,Delhi,110001,CSEEL NEP-2020 Certified
Teacher / Faculty,teacher-41,"Dr./Prof. Science Educator 41","Computer Science",teacher.41@cseel.network,Dev@123,Bengaluru,Karnataka,560001,CSEEL NEP-2020 Certified
Teacher / Faculty,teacher-42,"Dr./Prof. Science Educator 42","Lab Technology",teacher.42@cseel.network,Dev@123,Bhubaneswar,Odisha,751024,CSEEL NEP-2020 Certified
Teacher / Faculty,teacher-43,"Dr./Prof. Science Educator 43","Physics",teacher.43@cseel.network,Dev@123,New Delhi,Delhi,110001,CSEEL NEP-2020 Certified
Teacher / Faculty,teacher-44,"Dr./Prof. Science Educator 44","Chemistry",teacher.44@cseel.network,Dev@123,Bengaluru,Karnataka,560001,CSEEL NEP-2020 Certified
Teacher / Faculty,teacher-45,"Dr./Prof. Science Educator 45","Biology",teacher.45@cseel.network,Dev@123,Bhubaneswar,Odisha,751024,CSEEL NEP-2020 Certified
Teacher / Faculty,teacher-46,"Dr./Prof. Science Educator 46","Mathematics",teacher.46@cseel.network,Dev@123,New Delhi,Delhi,110001,CSEEL NEP-2020 Certified
Teacher / Faculty,teacher-47,"Dr./Prof. Science Educator 47","Robotics & AI",teacher.47@cseel.network,Dev@123,Bengaluru,Karnataka,560001,CSEEL NEP-2020 Certified
Teacher / Faculty,teacher-48,"Dr./Prof. Science Educator 48","Computer Science",teacher.48@cseel.network,Dev@123,Bhubaneswar,Odisha,751024,CSEEL NEP-2020 Certified
Teacher / Faculty,teacher-49,"Dr./Prof. Science Educator 49","Lab Technology",teacher.49@cseel.network,Dev@123,New Delhi,Delhi,110001,CSEEL NEP-2020 Certified
Teacher / Faculty,teacher-50,"Dr./Prof. Science Educator 50","Physics",teacher.50@cseel.network,Dev@123,Bengaluru,Karnataka,560001,CSEEL NEP-2020 Certified
Student Innovator,student-1,"Student Innovator 1","Class 10",student.1@cseel.student,Dev@123,New Delhi,Delhi,110001,CSEEL Verified Junior Scientist
Student Innovator,student-2,"Student Innovator 2","Class 11",student.2@cseel.student,Dev@123,Bengaluru,Karnataka,560001,CSEEL Verified Junior Scientist
Student Innovator,student-3,"Student Innovator 3","Class 12",student.3@cseel.student,Dev@123,Bhubaneswar,Odisha,751024,CSEEL Verified Junior Scientist
Student Innovator,student-4,"Student Innovator 4","Class 9",student.4@cseel.student,Dev@123,New Delhi,Delhi,110001,CSEEL Verified Junior Scientist
Student Innovator,student-5,"Student Innovator 5","Class 10",student.5@cseel.student,Dev@123,Bengaluru,Karnataka,560001,CSEEL Verified Junior Scientist
Student Innovator,student-6,"Student Innovator 6","Class 11",student.6@cseel.student,Dev@123,Bhubaneswar,Odisha,751024,CSEEL Verified Junior Scientist
Student Innovator,student-7,"Student Innovator 7","Class 12",student.7@cseel.student,Dev@123,New Delhi,Delhi,110001,CSEEL Verified Junior Scientist
Student Innovator,student-8,"Student Innovator 8","Class 9",student.8@cseel.student,Dev@123,Bengaluru,Karnataka,560001,CSEEL Verified Junior Scientist
Student Innovator,student-9,"Student Innovator 9","Class 10",student.9@cseel.student,Dev@123,Bhubaneswar,Odisha,751024,CSEEL Verified Junior Scientist
Student Innovator,student-10,"Student Innovator 10","Class 11",student.10@cseel.student,Dev@123,New Delhi,Delhi,110001,CSEEL Verified Junior Scientist
Student Innovator,student-11,"Student Innovator 11","Class 12",student.11@cseel.student,Dev@123,Bengaluru,Karnataka,560001,CSEEL Verified Junior Scientist
Student Innovator,student-12,"Student Innovator 12","Class 9",student.12@cseel.student,Dev@123,Bhubaneswar,Odisha,751024,CSEEL Verified Junior Scientist
Student Innovator,student-13,"Student Innovator 13","Class 10",student.13@cseel.student,Dev@123,New Delhi,Delhi,110001,CSEEL Verified Junior Scientist
Student Innovator,student-14,"Student Innovator 14","Class 11",student.14@cseel.student,Dev@123,Bengaluru,Karnataka,560001,CSEEL Verified Junior Scientist
Student Innovator,student-15,"Student Innovator 15","Class 12",student.15@cseel.student,Dev@123,Bhubaneswar,Odisha,751024,CSEEL Verified Junior Scientist
Student Innovator,student-16,"Student Innovator 16","Class 9",student.16@cseel.student,Dev@123,New Delhi,Delhi,110001,CSEEL Verified Junior Scientist
Student Innovator,student-17,"Student Innovator 17","Class 10",student.17@cseel.student,Dev@123,Bengaluru,Karnataka,560001,CSEEL Verified Junior Scientist
Student Innovator,student-18,"Student Innovator 18","Class 11",student.18@cseel.student,Dev@123,Bhubaneswar,Odisha,751024,CSEEL Verified Junior Scientist
Student Innovator,student-19,"Student Innovator 19","Class 12",student.19@cseel.student,Dev@123,New Delhi,Delhi,110001,CSEEL Verified Junior Scientist
Student Innovator,student-20,"Student Innovator 20","Class 9",student.20@cseel.student,Dev@123,Bengaluru,Karnataka,560001,CSEEL Verified Junior Scientist
Student Innovator,student-21,"Student Innovator 21","Class 10",student.21@cseel.student,Dev@123,Bhubaneswar,Odisha,751024,CSEEL Verified Junior Scientist
Student Innovator,student-22,"Student Innovator 22","Class 11",student.22@cseel.student,Dev@123,New Delhi,Delhi,110001,CSEEL Verified Junior Scientist
Student Innovator,student-23,"Student Innovator 23","Class 12",student.23@cseel.student,Dev@123,Bengaluru,Karnataka,560001,CSEEL Verified Junior Scientist
